"war","dbpedia","date","place_name"
"1 April attacks (Cyprus)","http://dbpedia.org/resource/1_April_attacks_(Cyprus)",1955-04-01,"Cyprus"
"1 April attacks (Cyprus)","http://dbpedia.org/resource/1_April_attacks_(Cyprus)",1955-04-01,"Nicosia"
"10 August (French Revolution)","http://dbpedia.org/resource/10_August_(French_Revolution)",1792-08-10,"Paris"
"10 August (French Revolution)","http://dbpedia.org/resource/10_August_(French_Revolution)",1792-08-10,"France"
"13 April 1999 Albania–Yugoslav border incident","http://dbpedia.org/resource/13_April_1999_Albania–Yugoslav_border_incident",1999-04-13,"Kukës"
"13 April 1999 Albania–Yugoslav border incident","http://dbpedia.org/resource/13_April_1999_Albania–Yugoslav_border_incident",1999-04-13,"Krumë"
"14 July Revolution","http://dbpedia.org/resource/14_July_Revolution",1958-07-14,"Iraq"
"1548 capture of Aden","http://dbpedia.org/resource/1548_capture_of_Aden",1548-02-26,"Aden"
"1548 capture of Aden","http://dbpedia.org/resource/1548_capture_of_Aden",1548-02-26,"Yemen"
"1689 Boston revolt","http://dbpedia.org/resource/1689_Boston_revolt",1689-04-18,"Boston, Massachusetts"
"17 July Revolution","http://dbpedia.org/resource/17_July_Revolution",1968-07-17,"History of Iraq (1958–1968)"
"1712 Huilliche rebellion","http://dbpedia.org/resource/1712_Huilliche_rebellion",1712-02-18,"Chiloé Archipelago"
"1757 Berlin raid","http://dbpedia.org/resource/1757_Berlin_raid",1757-10-16,"Berlin"
"1757 Berlin raid","http://dbpedia.org/resource/1757_Berlin_raid",1757-10-16,"Prussia"
"1842 retreat from Kabul","http://dbpedia.org/resource/1842_retreat_from_Kabul",1842-01-13,"Afghanistan"
"1842 retreat from Kabul","http://dbpedia.org/resource/1842_retreat_from_Kabul",1842-01-13,"Gandamak"
"1842 retreat from Kabul","http://dbpedia.org/resource/1842_retreat_from_Kabul",1842-01-13,"Kabul–Jalalabad Road"
